word,root_word,root_definition,word_id,is_root,pos,wordnet_polysemy_count,wordnet_definitions,exclude_yutao,exclude_final,pos_tag
abhor,abhorrence,hate coupled with disgust,10,False,verb,1,find repugnant,,,NN
abhorrence,abhorrence,hate coupled with disgust,9,True,noun,1,hate coupled with disgust,,,NN
abhorrent,abhorrence,hate coupled with disgust,14,False,adjective,1,offensive to the mind,,,NN
abhorrer,abhorrence,hate coupled with disgust,15,False,noun,1,a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred,,,NN
abhorring,abhorrence,hate coupled with disgust,17,False,verb,1,find repugnant,,,VBG
adoration,adoration,a feeling of profound love and admiration,36,True,noun,3,"a feeling of profound love and admiration
the act of admiring strongly
the worship given to God alone",,,NN
affection,affection,a positive feeling of liking,39,True,noun,1,a positive feeling of liking,,,NN
aggravate,aggravation,an exasperated feeling of annoyance,43,False,verb,2,"make worse
exasperate or irritate",1.0,1.0,NN
aggravating,aggravation,an exasperated feeling of annoyance,46,False,verb,3,"make worse
exasperate or irritate
making worse",1.0,1.0,VBG
aggravation,aggravation,an exasperated feeling of annoyance,42,True,noun,3,"an exasperated feeling of annoyance
unfriendly behavior that causes anger or resentment
action that makes a problem or a disease (or its symptoms) worse",1.0,0.0,NN
aggravator,aggravation,an exasperated feeling of annoyance,49,False,noun,1,an unpleasant person who is annoying or exasperating,,,NN
agitation,agitation,the feeling of being agitated; not calm,51,True,noun,5,"a mental state of extreme emotional disturbance
a state of agitation or turbulent change or development
the feeling of being agitated; not calm
disturbance usually in protest
the act of agitating something; causing it to move around (usually vigorously)",,,NN
agon,agony,intense feelings of suffering; acute mental or physical pain,55,False,noun,1,a festivity in ancient Greece at which competitors contended for prizes,1.0,1.0,NN
agonal,agony,intense feelings of suffering; acute mental or physical pain,56,False,adjective,1,pertaining to or associated with agony (especially death agonies),1.0,1.0,JJ
agonise,agony,intense feelings of suffering; acute mental or physical pain,58,False,verb,2,"cause to agonize
suffer agony or anguish",,,NN
agonist,agony,intense feelings of suffering; acute mental or physical pain,59,False,noun,4,"the principal character in a work of fiction
someone involved in a contest or battle (as in an agon)
a muscle that contracts while another relaxes
(biochemistry) a drug that can combine with a receptor on a cell to produce a physiological reaction",1.0,1.0,NN
agonistic,agony,intense feelings of suffering; acute mental or physical pain,60,False,adjective,3,"of or relating to the athletic contests held in ancient Greece
striving to overcome in argument
struggling for effect",1.0,1.0,JJ
agonize,agony,intense feelings of suffering; acute mental or physical pain,62,False,verb,2,"cause to agonize
suffer agony or anguish",,,VB
agonizing,agony,intense feelings of suffering; acute mental or physical pain,65,False,verb,3,"cause to agonize
suffer agony or anguish
extremely painful",,,VBG
agony,agony,intense feelings of suffering; acute mental or physical pain,54,True,noun,2,"intense feelings of suffering; acute mental or physical pain
a state of acute pain",,,NN
alarm,alarm,fear resulting from the awareness of danger,68,True,noun,6,"fear resulting from the awareness of danger
a device that signals the occurrence of some undesirable event
an automatic signal (usually a sound) warning of danger
a clock that wakes a sleeper at some preset time
fill with apprehension or alarm; cause to be unpleasantly surprised
warn or arouse to a sense of danger or call to a state of preparedness",1.0,0.0,NN
alarmed,alarm,fear resulting from the awareness of danger,71,False,verb,3,"fill with apprehension or alarm; cause to be unpleasantly surprised
warn or arouse to a sense of danger or call to a state of preparedness
experiencing a sudden sense of danger",,,JJ
alarming,alarm,fear resulting from the awareness of danger,72,False,verb,3,"fill with apprehension or alarm; cause to be unpleasantly surprised
warn or arouse to a sense of danger or call to a state of preparedness
frightening because of an awareness of danger",,,VBG
alarmism,alarm,fear resulting from the awareness of danger,73,False,noun,1,needless warnings,,,NN
alarmist,alarm,fear resulting from the awareness of danger,75,False,noun,1,a person who alarms others needlessly,,,NN
alienation,alienation,the feeling of being alienated from other people,90,True,noun,4,"the feeling of being alienated from other people
separation resulting from hostility
(law) the voluntary and absolute transfer of title and possession of real property from one person to another
the action of alienating; the action of causing to become unfriendly",1.0,0.0,NN
amaze,amazement,the feeling that accompanies something extremely surprising,94,False,verb,2,"affect with wonder
be a mystery or bewildering to",,,NN
amazement,amazement,the feeling that accompanies something extremely surprising,93,True,noun,1,the feeling that accompanies something extremely surprising,,,NN
amazing,amazement,the feeling that accompanies something extremely surprising,99,False,verb,4,"affect with wonder
be a mystery or bewildering to
surprising greatly
inspiring awe or admiration or wonder; ; ; ; - Melville",,,VBG
amuse,amusement,a feeling of delight at being entertained,101,False,verb,2,"occupy in an agreeable, entertaining or pleasant fashion
make (somebody) laugh",,,NN
amusement,amusement,a feeling of delight at being entertained,100,True,noun,2,"a feeling of delight at being entertained
an activity that is diverting and that holds the attention",,,NN
amusing,amusement,a feeling of delight at being entertained,106,False,verb,4,"occupy in an agreeable, entertaining or pleasant fashion
make (somebody) laugh
providing enjoyment; pleasantly entertaining
arousing or provoking laughter",,,VBG
amusive,amusement,a feeling of delight at being entertained,107,False,adjective,1,providing enjoyment; pleasantly entertaining,,,JJ
anger,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,108,True,noun,5,"a strong emotion; a feeling that is oriented toward some real or supposed grievance
the state of being angry
belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)
make angry
become angry",,,NN
angered,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,111,False,verb,3,"make angry
become angry
marked by extreme anger",,,JJ
angering,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,112,False,verb,2,"make angry
become angry",,,VBG
angrily,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,115,False,adverb,1,with anger,,,RB
angriness,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,116,False,noun,1,the state of being angry,,,NN
angry,anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,118,False,adjective,3,"feeling or showing anger
(of the elements) as if showing violent anger
severely inflamed and painful",,,JJ
anguish,anguish,extreme mental distress,119,True,noun,4,"extreme mental distress
extreme distress of body or mind
suffer great pains or distress
cause emotional anguish or make miserable",,,NN
anguishing,anguish,extreme mental distress,125,False,verb,2,"suffer great pains or distress
cause emotional anguish or make miserable",,,VBG
annoy,annoyance,anger produced by some annoying irritation,127,False,verb,1,"cause annoyance in; disturb, especially by minor irritations",,,NN
annoyance,annoyance,anger produced by some annoying irritation,126,True,noun,5,"the psychological state of being irritated or annoyed
anger produced by some annoying irritation
an unpleasant person who is annoying or exasperating
something or someone that causes trouble; a source of unhappiness
the act of troubling or annoying someone",,,NN
annoyer,annoyance,anger produced by some annoying irritation,131,False,noun,1,someone given to teasing (as by mocking or stirring curiosity),,,NN
annoying,annoyance,anger produced by some annoying irritation,133,False,verb,3,"the act of troubling or annoying someone
cause annoyance in; disturb, especially by minor irritations
causing irritation or annoyance",,,VBG
anxiety,anxiety,a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune,135,True,noun,2,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune",,,NN
apprehend,apprehension,fearful expectation or anticipation,139,False,verb,3,"get the meaning of something
take into custody
anticipate with dread or anxiety",1.0,1.0,NN
apprehender,apprehension,fearful expectation or anticipation,141,False,noun,2,"a person who knows or apprehends
a person who seizes or arrests (especially a person who seizes or arrests in the name of justice)",1.0,1.0,NN
apprehending,apprehension,fearful expectation or anticipation,143,False,verb,3,"get the meaning of something
take into custody
anticipate with dread or anxiety",1.0,1.0,VBG
apprehensible,apprehension,fearful expectation or anticipation,145,False,adjective,1,capable of being apprehended or understood,1.0,1.0,JJ
apprehension,apprehension,fearful expectation or anticipation,138,True,noun,4,"fearful expectation or anticipation
the cognitive condition of someone who understands
painful expectation
the act of apprehending (especially apprehending a criminal)",1.0,0.0,NN
apprehensive,apprehension,fearful expectation or anticipation,148,False,adjective,3,"quick to understand; - Nathaniel Hawthorne
mentally upset over possible misfortune or danger etc
in fear or dread of possible evil or harm",1.0,1.0,JJ
apprehensively,apprehension,fearful expectation or anticipation,149,False,adverb,1,with anxiety or apprehension,,,RB
apprehensiveness,apprehension,fearful expectation or anticipation,150,False,noun,1,fearful expectation or anticipation,,,NN
approbate,approval,a feeling of liking something or someone good,153,False,verb,2,"approve or sanction officially
accept (documents) as valid",1.0,1.0,NN
approbating,approval,a feeling of liking something or someone good,156,False,verb,2,"approve or sanction officially
accept (documents) as valid",1.0,1.0,VBG
approbation,approval,a feeling of liking something or someone good,157,False,noun,2,"official approval
official recognition or approval",1.0,1.0,NN
approbative,approval,a feeling of liking something or someone good,159,False,adjective,1,expressing or manifesting praise or approval,1.0,1.0,JJ
approbatory,approval,a feeling of liking something or someone good,160,False,adjective,1,expressing or manifesting praise or approval,1.0,1.0,NN
approval,approval,a feeling of liking something or someone good,152,True,noun,4,"the formal act of approving
a feeling of liking something or someone good
acceptance as satisfactory
a message expressing a favorable opinion",1.0,0.0,NN
approve,approval,a feeling of liking something or someone good,163,False,verb,2,"give sanction to
judge to be right or commendable; think well of",1.0,0.0,VB
approver,approval,a feeling of liking something or someone good,165,False,noun,1,an authority with power to approve,1.0,0.0,NN
approving,approval,a feeling of liking something or someone good,168,False,verb,4,"the formal act of approving
give sanction to
judge to be right or commendable; think well of
expressing or manifesting praise or approval",1.0,0.0,VBG
astonish,astonishment,the feeling that accompanies something extremely surprising,179,False,verb,1,affect with wonder,,,JJ
astonishing,astonishment,the feeling that accompanies something extremely surprising,182,False,verb,3,"affect with wonder
surprising greatly
so surprisingly impressive as to stun or overwhelm",,,VBG
astonishment,astonishment,the feeling that accompanies something extremely surprising,178,True,noun,1,the feeling that accompanies something extremely surprising,,,NN
aversion,aversion,a feeling of intense dislike,199,True,noun,2,"a feeling of intense dislike
the act of turning yourself (or your gaze) away",,,NN
avert,aversion,a feeling of intense dislike,202,False,verb,2,"prevent the occurrence of; prevent from happening
turn away or aside",1.0,1.0,NN
avertable,aversion,a feeling of intense dislike,203,False,adjective,1,capable of being avoided or warded off,1.0,1.0,JJ
avertible,aversion,a feeling of intense dislike,205,False,adjective,1,capable of being avoided or warded off,1.0,1.0,JJ
averting,aversion,a feeling of intense dislike,206,False,verb,4,"the act of preventing something from occurring
the act of turning yourself (or your gaze) away
prevent the occurrence of; prevent from happening
turn away or aside",1.0,1.0,VBG
awe,awe,an overwhelming feeling of wonder or admiration,208,True,noun,3,"an overwhelming feeling of wonder or admiration
a feeling of profound respect for someone or something
inspire awe in",,,NN
awes,awe,an overwhelming feeling of wonder or admiration,213,False,verb,3,"an overwhelming feeling of wonder or admiration
a feeling of profound respect for someone or something
inspire awe in",,,NN
awing,awe,an overwhelming feeling of wonder or admiration,214,False,verb,2,"inspire awe in
inspiring awe or admiration or wonder; ; ; ; - Melville",,,VBG
bitter,bitterness,a feeling of deep and bitter anger and ill-will,225,False,noun,12,"English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
the taste experience when quinine or coffee is taken into the mouth
the property of having a harsh unpleasant taste
make bitter
marked by strong resentment or cynicism
very difficult to accept or bear
harsh or corrosive in tone
expressive of severe grief or regret
proceeding from or exhibiting great hostility or animosity
causing a sharp and acrid taste experience
causing a sharply painful or stinging sensation; used especially of cold
extremely and sharply",,,NN
bittering,bitterness,a feeling of deep and bitter anger and ill-will,230,False,verb,1,make bitter,,,NN
bitterly,bitterness,a feeling of deep and bitter anger and ill-will,231,False,adverb,3,"with bitterness, in a resentful manner
indicating something hard to accept
extremely and sharply",,,RB
